interaction_id,fleet_id,interaction_date,interaction_type,topic,recommendation_made,follow_up_required,business_owner
INT-00001,FLT-0018,2025-06-05,QBR,route risk,monitor,True,Account Management
INT-00002,FLT-0011,2025-07-26,QBR,maintenance controls,safety improvement,False,Pricing
INT-00003,FLT-0040,2025-07-21,claims_review,autonomy operations,safety improvement,True,Underwriting
INT-00004,FLT-0074,2025-07-27,claims_review,route risk,maintenance certification,True,Account Management
INT-00005,FLT-0005,2025-12-14,QBR,claims trend,no action,True,Underwriting
INT-00006,FLT-0066,2025-05-05,ad_hoc_analysis,claims trend,pricing review,True,Pricing
INT-00007,FLT-0059,2025-10-30,renewal_review,safety program,safety improvement,False,Underwriting
INT-00008,FLT-0045,2025-07-20,underwriting_review,safety program,safety improvement,True,Claims
INT-00009,FLT-0033,2025-10-07,QBR,renewal pricing,pricing review,False,Pricing
INT-00010,FLT-0058,2025-10-18,ad_hoc_analysis,route risk,maintenance certification,False,Claims
INT-00011,FLT-0014,2025-03-10,renewal_review,maintenance controls,pricing review,False,Claims
INT-00012,FLT-0041,2025-03-22,QBR,maintenance controls,no action,True,Claims
INT-00013,FLT-0032,2025-10-29,ad_hoc_analysis,renewal pricing,no action,True,Risk Engineering
INT-00014,FLT-0075,2025-12-13,ad_hoc_analysis,renewal pricing,safety improvement,False,Risk Engineering
INT-00015,FLT-0003,2025-09-20,ad_hoc_analysis,autonomy operations,monitor,False,Underwriting
INT-00016,FLT-0010,2025-05-16,renewal_review,maintenance controls,maintenance certification,False,Claims
INT-00017,FLT-0009,2025-08-13,ad_hoc_analysis,renewal pricing,no action,True,Account Management
INT-00018,FLT-0003,2025-03-26,claims_review,safety program,safety improvement,False,Pricing
INT-00019,FLT-0034,2025-01-18,renewal_review,safety program,no action,False,Account Management
INT-00020,FLT-0008,2025-06-20,underwriting_review,maintenance controls,no action,False,Pricing
INT-00021,FLT-0015,2025-08-14,renewal_review,safety program,pricing review,False,Claims
INT-00022,FLT-0022,2025-06-28,underwriting_review,route risk,monitor,False,Claims
INT-00023,FLT-0017,2025-10-12,QBR,claims trend,no action,False,Claims
INT-00024,FLT-0045,2025-12-19,ad_hoc_analysis,maintenance controls,pricing review,True,Risk Engineering
INT-00025,FLT-0021,2025-06-27,renewal_review,route risk,safety improvement,False,Account Management
INT-00026,FLT-0014,2025-03-07,claims_review,autonomy operations,monitor,False,Claims
INT-00027,FLT-0079,2025-11-19,ad_hoc_analysis,autonomy operations,monitor,False,Account Management
INT-00028,FLT-0062,2025-07-27,ad_hoc_analysis,renewal pricing,safety improvement,False,Pricing
INT-00029,FLT-0023,2025-01-25,ad_hoc_analysis,autonomy operations,pricing review,True,Pricing
INT-00030,FLT-0044,2025-02-28,claims_review,maintenance controls,safety improvement,False,Underwriting
INT-00031,FLT-0041,2025-08-21,underwriting_review,autonomy operations,pricing review,False,Underwriting
INT-00032,FLT-0033,2025-04-21,claims_review,renewal pricing,no action,True,Account Management
INT-00033,FLT-0052,2025-07-20,renewal_review,claims trend,safety improvement,False,Claims
INT-00034,FLT-0044,2025-05-10,ad_hoc_analysis,claims trend,pricing review,False,Pricing
INT-00035,FLT-0047,2025-11-12,QBR,safety program,no action,False,Underwriting
